timeframe,time,open,high,low,close,volume
1D,2010-01-04T00:00:00,79.629997,81.68,79.629997,81.510002,263542.0
1D,2010-01-05T00:00:00,81.629997,82.0,80.949997,81.769997,258887.0
1D,2010-01-06T00:00:00,81.43,83.519997,80.849998,83.18,370059.0
1D,2010-01-07T00:00:00,83.199997,83.360001,82.260002,82.660004,246632.0
1D,2010-01-08T00:00:00,82.650002,83.470001,81.800003,82.75,310377.0
1D,2010-01-11T00:00:00,82.879997,83.949997,81.959999,82.519997,296304.0
1D,2010-01-12T00:00:00,82.07,82.339996,79.910004,80.790001,333866.0
1D,2010-01-13T00:00:00,80.059998,80.669998,78.370003,79.650002,401627.0
1D,2010-01-14T00:00:00,79.629997,80.360001,78.919998,79.389999,275404.0
1D,2010-01-15T00:00:00,79.199997,79.309998,77.699997,78.0,200555.0
1D,2010-01-19T00:00:00,77.849998,79.150002,76.760002,79.019997,186882.0
1D,2010-01-20T00:00:00,78.879997,79.029999,76.959999,77.620003,303758.0
1D,2010-01-21T00:00:00,77.559998,78.360001,75.660004,76.080002,327417.0
1D,2010-01-22T00:00:00,75.839996,76.5,74.010002,74.540001,348819.0
1D,2010-01-25T00:00:00,74.239998,75.419998,74.059998,75.260002,280559.0
1D,2010-01-26T00:00:00,75.279999,75.389999,73.82,74.709999,256207.0
1D,2010-01-27T00:00:00,74.690002,75.089996,72.650002,73.669998,356179.0
1D,2010-01-28T00:00:00,73.75,74.489998,72.93,73.639999,292911.0
1D,2010-01-29T00:00:00,73.889999,74.82,72.43,72.889999,335270.0
1D,2010-02-01T00:00:00,72.839996,74.989998,72.489998,74.43,277411.0
1D,2010-02-02T00:00:00,74.940002,77.410004,74.400002,77.230003,366269.0
1D,2010-02-03T00:00:00,76.989998,78.040001,76.519997,76.980003,391294.0
1D,2010-02-04T00:00:00,77.089996,77.169998,72.419998,73.139999,523892.0
1D,2010-02-05T00:00:00,73.040001,73.940002,69.5,71.190002,596142.0
1D,2010-02-08T00:00:00,72.18,72.389999,70.769997,71.889999,345638.0
1D,2010-02-09T00:00:00,71.68,74.150002,71.32,73.75,429845.0
1D,2010-02-10T00:00:00,73.790001,74.970001,72.599998,74.519997,422057.0
1D,2010-02-11T00:00:00,74.650002,75.690002,73.379997,75.279999,464441.0
1D,2010-02-12T00:00:00,75.300003,75.349998,72.660004,74.129997,335805.0
1D,2010-02-16T00:00:00,74.019997,77.419998,73.709999,77.010002,365032.0
1D,2010-02-17T00:00:00,77.32,77.82,76.529999,77.330002,283816.0
1D,2010-02-18T00:00:00,77.290001,79.290001,76.32,79.059998,274169.0
1D,2010-02-19T00:00:00,78.370003,80.099998,77.760002,79.809998,183234.0
1D,2010-02-22T00:00:00,80.099998,80.510002,79.449997,80.160004,238956.0
1D,2010-02-23T00:00:00,80.029999,80.389999,78.220001,78.860001,316878.0
1D,2010-02-24T00:00:00,79.129997,80.449997,78.25,80.0,289321.0
1D,2010-02-25T00:00:00,80.309998,80.32,77.050003,78.169998,346025.0
1D,2010-02-26T00:00:00,78.330002,80.050003,77.82,79.660004,319038.0
1D,2010-03-01T00:00:00,79.839996,80.620003,78.059998,78.699997,298718.0
1D,2010-03-02T00:00:00,78.879997,80.949997,78.260002,79.68,301698.0
1D,2010-03-03T00:00:00,79.639999,81.230003,79.440002,80.870003,306910.0
1D,2010-03-04T00:00:00,81.010002,81.089996,79.699997,80.209999,278889.0
1D,2010-03-05T00:00:00,80.580002,82.07,80.470001,81.5,299634.0
1D,2010-03-08T00:00:00,81.790001,82.410004,80.75,81.870003,295351.0
1D,2010-03-09T00:00:00,81.75,81.910004,80.160004,81.489998,332133.0
1D,2010-03-10T00:00:00,81.379997,83.029999,80.809998,82.089996,430148.0
1D,2010-03-11T00:00:00,81.980003,82.379997,81.330002,82.110001,279161.0
1D,2010-03-12T00:00:00,82.199997,83.160004,80.57,81.239998,337201.0
1D,2010-03-15T00:00:00,81.129997,81.309998,79.129997,79.800003,283135.0
1D,2010-03-16T00:00:00,79.839996,82.040001,79.32,81.699997,290180.0
1D,2010-03-17T00:00:00,82.050003,83.089996,81.720001,82.93,275205.0
1D,2010-03-18T00:00:00,82.849998,82.849998,81.68,82.199997,208343.0
1D,2010-03-19T00:00:00,82.169998,82.169998,79.860001,80.68,150682.0
1D,2010-03-22T00:00:00,80.93,81.489998,78.57,81.25,351220.0
1D,2010-03-23T00:00:00,81.809998,82.199997,80.849998,81.910004,261873.0
1D,2010-03-24T00:00:00,81.580002,81.639999,79.879997,80.610001,307763.0
1D,2010-03-25T00:00:00,80.25,81.480003,80.199997,80.529999,296271.0
1D,2010-03-26T00:00:00,80.129997,81.459999,79.540001,80.0,324607.0
1D,2010-03-29T00:00:00,80.239998,82.779999,80.18,82.169998,311042.0
