timeframe,time,open,high,low,close,volume
1D,2010-01-04T00:00:00,5975.52002,6048.299805,5974.430176,6048.299805,104344400.0
1D,2010-01-05T00:00:00,6043.939941,6058.02002,6015.669922,6031.859863,117572100.0
1D,2010-01-06T00:00:00,6032.390137,6047.569824,5997.089844,6034.330078,108742400.0
1D,2010-01-07T00:00:00,6016.799805,6037.569824,5961.25,6019.359863,133704300.0
1D,2010-01-08T00:00:00,6028.620117,6053.040039,5972.240234,6037.609863,126099000.0
1D,2010-01-11T00:00:00,6057.930176,6094.259766,6031.140137,6040.5,103675800.0
1D,2010-01-12T00:00:00,6039.390137,6055.560059,5924.720215,5943.0,129269700.0
1D,2010-01-13T00:00:00,5937.169922,5974.439941,5925.240234,5963.140137,114728400.0
1D,2010-01-14T00:00:00,5999.080078,6009.910156,5951.689941,5988.879883,115453700.0
1D,2010-01-15T00:00:00,5996.560059,6025.359863,5866.839844,5875.970215,156035200.0
1D,2010-01-18T00:00:00,5897.629883,5922.930176,5877.649902,5918.549805,79532100.0
1D,2010-01-19T00:00:00,5905.330078,5988.799805,5849.669922,5976.47998,113604900.0
1D,2010-01-20T00:00:00,5963.709961,5972.77002,5832.089844,5851.529785,118371200.0
1D,2010-01-21T00:00:00,5878.240234,5908.850098,5742.450195,5746.970215,138594400.0
1D,2010-01-22T00:00:00,5735.680176,5740.870117,5639.490234,5695.319824,177787000.0
1D,2010-01-25T00:00:00,5662.850098,5693.859863,5624.580078,5631.370117,122382000.0
1D,2010-01-26T00:00:00,5593.939941,5675.959961,5574.459961,5668.930176,140930900.0
1D,2010-01-27T00:00:00,5643.52002,5673.72998,5589.009766,5643.200195,143566600.0
1D,2010-01-28T00:00:00,5687.100098,5718.810059,5540.330078,5540.330078,185119100.0
1D,2010-01-29T00:00:00,5566.029785,5657.870117,5556.189941,5608.790039,206927000.0
1D,2010-02-01T00:00:00,5587.5,5674.209961,5567.720215,5654.47998,130680700.0
1D,2010-02-02T00:00:00,5664.25,5723.200195,5624.609863,5709.660156,137793900.0
1D,2010-02-03T00:00:00,5715.160156,5733.709961,5656.899902,5672.089844,133970300.0
1D,2010-02-04T00:00:00,5671.169922,5696.939941,5522.569824,5533.240234,170297100.0
1D,2010-02-05T00:00:00,5515.689941,5527.0,5433.02002,5434.339844,234113800.0
1D,2010-02-08T00:00:00,5476.470215,5505.060059,5434.399902,5484.850098,137808300.0
1D,2010-02-09T00:00:00,5485.310059,5537.970215,5461.509766,5498.259766,130402000.0
1D,2010-02-10T00:00:00,5533.709961,5592.27002,5505.370117,5536.370117,132047100.0
1D,2010-02-11T00:00:00,5562.830078,5580.77002,5454.069824,5503.930176,122397400.0
1D,2010-02-12T00:00:00,5550.450195,5565.430176,5460.049805,5500.390137,114810000.0
