timeframe,time,open,high,low,close,volume
1D,2010-01-04T00:00:00,10430.69043,10604.969727,10430.69043,10583.959961,179780000.0
1D,2010-01-05T00:00:00,10584.55957,10584.55957,10522.519531,10572.019531,188540000.0
1D,2010-01-06T00:00:00,10564.719727,10594.990234,10546.549805,10573.679688,186040000.0
1D,2010-01-07T00:00:00,10571.110352,10612.370117,10505.209961,10606.860352,217390000.0
1D,2010-01-08T00:00:00,10606.400391,10619.400391,10554.330078,10618.19043,172710000.0
1D,2010-01-11T00:00:00,10620.30957,10676.230469,10591.589844,10663.990234,182050000.0
1D,2010-01-12T00:00:00,10662.860352,10663.080078,10568.839844,10627.259766,256050000.0
1D,2010-01-13T00:00:00,10628.089844,10709.259766,10614.490234,10680.769531,202810000.0
1D,2010-01-14T00:00:00,10680.160156,10723.769531,10666.860352,10710.549805,201320000.0
1D,2010-01-15T00:00:00,10706.990234,10709.94043,10561.05957,10609.650391,362930000.0
1D,2010-01-19T00:00:00,10608.370117,10729.889648,10591.969727,10725.429688,192150000.0
1D,2010-01-20T00:00:00,10719.69043,10719.919922,10517.299805,10603.150391,203270000.0
1D,2010-01-21T00:00:00,10603.910156,10614.94043,10374.69043,10389.879883,304290000.0
1D,2010-01-22T00:00:00,10389.580078,10389.580078,10157.639648,10172.980469,323620000.0
1D,2010-01-25T00:00:00,10175.099609,10256.870117,10171.769531,10196.860352,215330000.0
1D,2010-01-26T00:00:00,10195.349609,10285.129883,10155.599609,10194.290039,217300000.0
1D,2010-01-27T00:00:00,10194.290039,10255.05957,10104.360352,10236.160156,262170000.0
1D,2010-01-28T00:00:00,10236.919922,10258.830078,10055.080078,10120.459961,240050000.0
1D,2010-01-29T00:00:00,10122.040039,10239.339844,10043.75,10067.330078,316900000.0
1D,2010-02-01T00:00:00,10068.990234,10190.889648,10068.910156,10185.530273,198430000.0
1D,2010-02-02T00:00:00,10186.129883,10314.839844,10173.589844,10296.849609,237140000.0
1D,2010-02-03T00:00:00,10291.730469,10307.200195,10231.929688,10270.549805,198940000.0
1D,2010-02-04T00:00:00,10273.120117,10273.120117,9998.030273,10002.179688,304240000.0
1D,2010-02-05T00:00:00,10003.69043,10031.959961,9835.089844,10012.230469,308320000.0
1D,2010-02-08T00:00:00,10005.429688,10028.55957,9904.089844,9908.389648,216270000.0
1D,2010-02-09T00:00:00,9910.280273,10139.429688,9910.05957,10058.639648,236210000.0
1D,2010-02-10T00:00:00,10055.459961,10085.540039,9962.959961,10038.379883,178600000.0
1D,2010-02-11T00:00:00,10037.849609,10161.570312,9976.709961,10144.19043,194470000.0
1D,2010-02-12T00:00:00,10137.230469,10137.389648,9983.820312,10099.139648,296510000.0
1D,2010-02-16T00:00:00,10100.80957,10279.540039,10100.80957,10268.80957,234900000.0
1D,2010-02-17T00:00:00,10261.480469,10320.129883,10261.480469,10309.240234,193270000.0
1D,2010-02-18T00:00:00,10309.389648,10406.580078,10294.509766,10392.900391,185310000.0
1D,2010-02-19T00:00:00,10387.769531,10438.549805,10339.169922,10402.349609,241750000.0
1D,2010-02-22T00:00:00,10402.429688,10433.639648,10368.950195,10383.379883,158440000.0
1D,2010-02-23T00:00:00,10383.160156,10411.120117,10267.830078,10282.410156,190740000.0
1D,2010-02-24T00:00:00,10284.0,10393.509766,10283.929688,10374.160156,181450000.0
1D,2010-02-25T00:00:00,10366.599609,10366.679688,10185.830078,10321.030273,242550000.0
1D,2010-02-26T00:00:00,10321.410156,10353.450195,10272.290039,10325.259766,282120000.0
1D,2010-03-01T00:00:00,10326.099609,10413.990234,10326.099609,10403.790039,173750000.0
1D,2010-03-02T00:00:00,10404.160156,10456.919922,10389.429688,10405.980469,217180000.0
1D,2010-03-03T00:00:00,10406.280273,10469.540039,10376.580078,10396.759766,183290000.0
1D,2010-03-04T00:00:00,10396.530273,10452.379883,10390.860352,10444.139648,165740000.0
1D,2010-03-05T00:00:00,10445.129883,10571.94043,10445.049805,10566.200195,184270000.0
