timeframe,time,open,high,low,close,volume
1D,2010-01-04T00:00:00,5412.899902,5500.299805,5410.799805,5500.299805,750942000.0
1D,2010-01-05T00:00:00,5500.299805,5536.399902,5480.700195,5522.5,1149301200.0
1D,2010-01-06T00:00:00,5522.5,5536.5,5497.700195,5530.0,998295300.0
1D,2010-01-07T00:00:00,5530.0,5551.700195,5499.799805,5526.700195,1162933700.0
1D,2010-01-08T00:00:00,5526.700195,5549.299805,5494.799805,5534.200195,1006420600.0
1D,2010-01-11T00:00:00,5534.200195,5600.5,5527.899902,5538.100098,901194900.0
1D,2010-01-12T00:00:00,5538.100098,5549.600098,5459.899902,5498.700195,957401700.0
1D,2010-01-13T00:00:00,5498.700195,5509.700195,5450.899902,5473.5,849923000.0
1D,2010-01-14T00:00:00,5473.5,5521.899902,5473.5,5498.200195,928036100.0
1D,2010-01-15T00:00:00,5498.200195,5527.0,5450.399902,5455.399902,1743437800.0
1D,2010-01-18T00:00:00,5455.399902,5504.0,5454.299805,5494.399902,776795200.0
1D,2010-01-19T00:00:00,5494.399902,5531.899902,5431.299805,5513.100098,1107801600.0
1D,2010-01-20T00:00:00,5513.100098,5513.100098,5404.0,5420.799805,1199200900.0
1D,2010-01-21T00:00:00,5420.799805,5468.399902,5331.600098,5335.100098,1345500500.0
1D,2010-01-22T00:00:00,5335.100098,5345.600098,5253.0,5303.0,1645842400.0
1D,2010-01-25T00:00:00,5303.0,5330.600098,5252.899902,5260.299805,1024448800.0
1D,2010-01-26T00:00:00,5260.299805,5276.899902,5215.700195,5276.899902,1015919800.0
1D,2010-01-27T00:00:00,5276.899902,5276.899902,5192.600098,5217.5,1271716800.0
1D,2010-01-28T00:00:00,5217.5,5280.399902,5145.700195,5145.700195,1294378400.0
1D,2010-01-29T00:00:00,5145.700195,5230.200195,5145.700195,5188.5,1281845800.0
1D,2010-02-01T00:00:00,5188.5,5250.100098,5163.600098,5247.399902,934766100.0
1D,2010-02-02T00:00:00,5247.399902,5289.100098,5208.200195,5283.299805,1105691000.0
1D,2010-02-03T00:00:00,5283.299805,5305.399902,5237.700195,5253.200195,1140388100.0
1D,2010-02-04T00:00:00,5253.200195,5262.200195,5123.899902,5139.299805,1725801600.0
1D,2010-02-05T00:00:00,5139.299805,5139.299805,5033.799805,5060.899902,1930760100.0
1D,2010-02-08T00:00:00,5060.899902,5118.100098,5033.0,5092.299805,1326821100.0
1D,2010-02-09T00:00:00,5092.299805,5132.899902,5084.799805,5111.799805,1284674100.0
1D,2010-02-10T00:00:00,5111.799805,5181.200195,5105.299805,5132.0,1191910000.0
1D,2010-02-11T00:00:00,5132.0,5201.799805,5114.5,5161.5,1565807200.0
1D,2010-02-12T00:00:00,5161.5,5207.700195,5117.399902,5142.5,1285903300.0
1D,2010-02-15T00:00:00,5142.5,5194.299805,5142.5,5167.5,591532800.0
1D,2010-02-16T00:00:00,5167.5,5248.100098,5167.5,5244.100098,1098282000.0
1D,2010-02-17T00:00:00,5244.100098,5304.5,5244.100098,5276.600098,1205018000.0
1D,2010-02-18T00:00:00,5276.600098,5326.399902,5261.700195,5325.100098,966085200.0
1D,2010-02-19T00:00:00,5325.100098,5366.100098,5281.399902,5358.200195,1469031000.0
1D,2010-02-22T00:00:00,5358.200195,5387.0,5348.200195,5352.100098,961342400.0
1D,2010-02-23T00:00:00,5352.100098,5395.5,5302.0,5315.100098,1063966500.0
1D,2010-02-24T00:00:00,5315.100098,5357.899902,5298.200195,5342.899902,953221200.0
1D,2010-02-25T00:00:00,5342.899902,5370.399902,5259.700195,5278.200195,1951587200.0
1D,2010-02-26T00:00:00,5278.200195,5367.799805,5278.200195,5354.5,1700847600.0
1D,2010-03-01T00:00:00,5354.5,5420.799805,5354.5,5405.899902,1423330600.0
1D,2010-03-02T00:00:00,5405.899902,5485.0,5403.700195,5484.100098,1218498700.0
1D,2010-03-03T00:00:00,5484.100098,5541.799805,5465.299805,5533.200195,1108893100.0
1D,2010-03-04T00:00:00,5533.200195,5544.200195,5501.100098,5527.200195,1075263000.0
1D,2010-03-05T00:00:00,5527.200195,5605.399902,5527.200195,5599.799805,1001732100.0
1D,2010-03-08T00:00:00,5599.799805,5621.200195,5579.200195,5606.700195,837350700.0
1D,2010-03-09T00:00:00,5606.700195,5618.399902,5563.100098,5602.299805,993738400.0
1D,2010-03-10T00:00:00,5602.299805,5645.299805,5585.399902,5640.600098,997893900.0
1D,2010-03-11T00:00:00,5640.600098,5642.899902,5594.700195,5617.299805,889812900.0
1D,2010-03-12T00:00:00,5617.299805,5646.700195,5612.399902,5625.700195,1292880400.0
1D,2010-03-15T00:00:00,5625.700195,5627.0,5588.200195,5593.899902,818311200.0
1D,2010-03-16T00:00:00,5593.899902,5637.700195,5593.899902,5620.399902,878179400.0
1D,2010-03-17T00:00:00,5620.399902,5657.799805,5620.399902,5644.600098,930653500.0
1D,2010-03-18T00:00:00,5644.600098,5661.0,5619.200195,5642.600098,919829700.0
1D,2010-03-19T00:00:00,5642.600098,5691.200195,5633.5,5650.100098,2488301900.0
1D,2010-03-22T00:00:00,5650.100098,5650.100098,5583.5,5644.5,886165700.0
1D,2010-03-23T00:00:00,5644.5,5695.899902,5644.5,5673.600098,969327600.0
1D,2010-03-24T00:00:00,5673.600098,5698.899902,5636.0,5677.899902,1118840000.0
1D,2010-03-25T00:00:00,5677.899902,5737.100098,5673.100098,5727.700195,1098678300.0
1D,2010-03-26T00:00:00,5727.700195,5727.700195,5695.5,5703.0,1031531100.0
1D,2010-03-29T00:00:00,5703.0,5733.100098,5684.600098,5710.700195,1015977100.0
1D,2010-03-30T00:00:00,5710.700195,5742.799805,5662.799805,5672.299805,930757400.0
1D,2010-03-31T00:00:00,5672.299805,5698.5,5646.299805,5679.600098,1105283700.0
1D,2010-04-01T00:00:00,5679.600098,5744.899902,5679.5,5744.899902,807719900.0
1D,2010-04-06T00:00:00,5744.899902,5790.399902,5744.600098,5780.399902,845433900.0
1D,2010-04-07T00:00:00,5780.399902,5782.299805,5753.399902,5762.100098,828676900.0
1D,2010-04-08T00:00:00,5762.100098,5762.100098,5684.5,5712.700195,820356600.0
1D,2010-04-09T00:00:00,5712.700195,5773.600098,5712.700195,5771.0,704070300.0
1D,2010-04-12T00:00:00,5771.0,5803.700195,5755.799805,5777.700195,595469500.0
1D,2010-04-13T00:00:00,5777.700195,5778.899902,5741.899902,5761.700195,668939800.0
1D,2010-04-14T00:00:00,5761.700195,5812.799805,5761.700195,5796.299805,868022000.0
1D,2010-04-15T00:00:00,5796.299805,5832.299805,5778.399902,5825.0,1030545900.0
1D,2010-04-16T00:00:00,5825.0,5833.700195,5726.399902,5744.0,1634478500.0
1D,2010-04-19T00:00:00,5744.0,5748.299805,5697.200195,5727.899902,889516800.0
1D,2010-04-20T00:00:00,5727.899902,5796.600098,5727.899902,5783.700195,1081126000.0
1D,2010-04-21T00:00:00,5783.700195,5797.0,5721.299805,5723.399902,1148842800.0
1D,2010-04-22T00:00:00,5723.399902,5761.399902,5652.399902,5665.299805,1139851500.0
1D,2010-04-23T00:00:00,5665.299805,5740.899902,5665.299805,5723.700195,1002800100.0
1D,2010-04-26T00:00:00,5723.700195,5800.700195,5723.700195,5753.899902,1036747900.0
1D,2010-04-27T00:00:00,5753.899902,5758.600098,5603.5,5603.5,1515371800.0
1D,2010-04-28T00:00:00,5603.5,5640.0,5533.600098,5586.600098,1832667100.0
1D,2010-04-29T00:00:00,5586.600098,5638.799805,5579.700195,5617.799805,1206691700.0
1D,2010-04-30T00:00:00,5617.799805,5643.899902,5540.600098,5553.299805,1439125200.0
1D,2010-05-04T00:00:00,5553.299805,5566.0,5398.899902,5411.100098,1735870600.0
1D,2010-05-05T00:00:00,5411.100098,5428.799805,5304.600098,5341.899902,1997069700.0
1D,2010-05-06T00:00:00,5341.899902,5371.5,5251.299805,5261.0,1701801200.0
1D,2010-05-07T00:00:00,5261.0,5264.5,5045.299805,5123.0,2757309100.0
1D,2010-05-10T00:00:00,5123.0,5399.799805,5123.0,5387.399902,2324686400.0
1D,2010-05-11T00:00:00,5387.399902,5387.399902,5257.200195,5334.200195,1450249400.0
