timeframe,time,open,high,low,close,volume
1D,2010-01-04T00:00:00,1117.699951,1122.300049,1097.099976,1117.699951,184.0
1D,2010-01-05T00:00:00,1118.099976,1126.5,1115.0,1118.099976,53.0
1D,2010-01-06T00:00:00,1135.900024,1139.199951,1120.699951,1135.900024,363.0
1D,2010-01-07T00:00:00,1133.099976,1133.099976,1129.199951,1133.099976,56.0
1D,2010-01-08T00:00:00,1138.199951,1138.199951,1122.699951,1138.199951,54.0
1D,2010-01-11T00:00:00,1150.699951,1161.199951,1143.0,1150.699951,177.0
1D,2010-01-12T00:00:00,1128.900024,1157.199951,1127.199951,1128.900024,51.0
1D,2010-01-13T00:00:00,1136.400024,1136.400024,1121.0,1136.400024,58.0
1D,2010-01-14T00:00:00,1137.0,1145.900024,1132.800049,1142.599976,81.0
1D,2010-01-15T00:00:00,1132.800049,1133.400024,1127.199951,1130.099976,50.0
1D,2010-01-19T00:00:00,1139.699951,1139.699951,1130.5,1139.699951,22.0
1D,2010-01-20T00:00:00,1123.300049,1133.0,1109.800049,1112.300049,28.0
1D,2010-01-21T00:00:00,1102.699951,1107.5,1090.199951,1102.699951,99.0
1D,2010-01-22T00:00:00,1089.199951,1095.400024,1083.0,1089.199951,58.0
1D,2010-01-25T00:00:00,1095.199951,1095.199951,1095.199951,1095.199951,8.0
1D,2010-01-26T00:00:00,1097.900024,1097.900024,1097.900024,1097.900024,4.0
1D,2010-01-27T00:00:00,1084.400024,1084.400024,1084.400024,1084.400024,206694.0
1D,2010-01-28T00:00:00,1087.800049,1095.699951,1073.199951,1083.599976,101168.0
1D,2010-01-29T00:00:00,1085.0,1090.800049,1074.5,1083.0,11456.0
1D,2010-02-01T00:00:00,1081.0,1107.300049,1076.800049,1104.300049,2452.0
1D,2010-02-02T00:00:00,1117.400024,1118.5,1100.199951,1117.400024,3326.0
1D,2010-02-03T00:00:00,1115.800049,1124.900024,1108.599976,1111.400024,853.0
1D,2010-02-04T00:00:00,1110.0,1110.699951,1059.0,1062.400024,1426.0
1D,2010-02-05T00:00:00,1052.199951,1068.5,1045.199951,1052.199951,1956.0
1D,2010-02-08T00:00:00,1065.699951,1073.400024,1061.599976,1065.699951,549.0
