timeframe,time,open,high,low,close,volume
1D,2010-01-04T00:00:00,10609.339844,10694.490234,10608.139648,10654.790039,104400000.0
1D,2010-01-05T00:00:00,10719.44043,10791.040039,10655.570312,10681.830078,166200000.0
1D,2010-01-06T00:00:00,10709.549805,10768.610352,10661.169922,10731.450195,181800000.0
1D,2010-01-07T00:00:00,10742.75,10774.0,10636.669922,10681.660156,182600000.0
1D,2010-01-08T00:00:00,10743.299805,10816.450195,10677.55957,10798.320312,211800000.0
1D,2010-01-12T00:00:00,10770.349609,10905.389648,10763.679688,10879.139648,192800000.0
1D,2010-01-13T00:00:00,10795.480469,10866.620117,10729.860352,10735.030273,250000000.0
1D,2010-01-14T00:00:00,10778.070312,10909.94043,10774.25,10907.679688,267300000.0
1D,2010-01-15T00:00:00,10917.410156,10982.099609,10878.830078,10982.099609,252900000.0
1D,2010-01-18T00:00:00,10887.610352,10895.099609,10781.030273,10855.080078,186600000.0
1D,2010-01-19T00:00:00,10866.830078,10866.830078,10749.469727,10764.900391,174700000.0
1D,2010-01-20T00:00:00,10834.910156,10860.929688,10724.570312,10737.519531,146400000.0
1D,2010-01-21T00:00:00,10704.790039,10886.639648,10649.839844,10868.410156,176900000.0
1D,2010-01-22T00:00:00,10740.209961,10768.070312,10528.330078,10590.549805,187400000.0
1D,2010-01-25T00:00:00,10478.30957,10557.639648,10414.580078,10512.69043,139800000.0
1D,2010-01-26T00:00:00,10506.150391,10566.490234,10324.980469,10325.280273,175400000.0
1D,2010-01-27T00:00:00,10344.070312,10373.820312,10252.080078,10252.080078,139500000.0
1D,2010-01-28T00:00:00,10309.730469,10462.700195,10296.980469,10414.290039,168000000.0
1D,2010-01-29T00:00:00,10308.049805,10324.370117,10198.040039,10198.040039,156800000.0
1D,2010-02-01T00:00:00,10212.360352,10224.830078,10129.910156,10205.019531,161900000.0
1D,2010-02-02T00:00:00,10310.980469,10396.480469,10287.740234,10371.089844,142000000.0
1D,2010-02-03T00:00:00,10428.120117,10436.519531,10356.030273,10404.330078,154300000.0
1D,2010-02-04T00:00:00,10434.519531,10438.410156,10279.570312,10355.980469,164500000.0
1D,2010-02-05T00:00:00,10162.339844,10166.299805,10036.330078,10057.089844,172000000.0
1D,2010-02-08T00:00:00,10007.469727,10063.530273,9942.049805,9951.820312,137400000.0
1D,2010-02-09T00:00:00,9876.610352,9956.790039,9867.389648,9932.900391,135000000.0
1D,2010-02-10T00:00:00,10024.259766,10049.870117,9963.990234,9963.990234,127000000.0
1D,2010-02-12T00:00:00,10085.349609,10099.459961,10014.5,10092.19043,136000000.0
1D,2010-02-15T00:00:00,10097.820312,10119.469727,10012.530273,10013.299805,97300000.0
1D,2010-02-16T00:00:00,10044.530273,10062.269531,10019.429688,10034.25,87000000.0
1D,2010-02-17T00:00:00,10161.719727,10306.830078,10150.240234,10306.830078,127100000.0
1D,2010-02-18T00:00:00,10324.980469,10340.379883,10285.049805,10335.69043,111800000.0
1D,2010-02-19T00:00:00,10334.400391,10354.419922,10123.580078,10123.580078,129500000.0
1D,2010-02-22T00:00:00,10302.070312,10449.75,10298.150391,10400.469727,115400000.0
1D,2010-02-23T00:00:00,10327.639648,10375.549805,10280.330078,10352.099609,121500000.0
1D,2010-02-24T00:00:00,10205.150391,10243.200195,10129.650391,10198.830078,125200000.0
1D,2010-02-25T00:00:00,10256.099609,10267.429688,10087.209961,10101.959961,128200000.0
1D,2010-02-26T00:00:00,10107.080078,10171.219727,10085.129883,10126.030273,113200000.0
1D,2010-03-01T00:00:00,10128.730469,10215.150391,10116.860352,10172.05957,108400000.0
1D,2010-03-02T00:00:00,10199.19043,10238.959961,10150.299805,10221.839844,104000000.0
1D,2010-03-03T00:00:00,10193.950195,10274.089844,10186.679688,10253.139648,120600000.0
1D,2010-03-04T00:00:00,10255.69043,10263.480469,10134.370117,10145.719727,126300000.0
1D,2010-03-05T00:00:00,10254.610352,10376.410156,10254.610352,10368.959961,129900000.0
1D,2010-03-08T00:00:00,10538.120117,10586.969727,10514.280273,10585.919922,140500000.0
1D,2010-03-09T00:00:00,10567.320312,10593.269531,10542.80957,10567.650391,110100000.0
1D,2010-03-10T00:00:00,10555.849609,10588.69043,10547.339844,10563.919922,104800000.0
1D,2010-03-11T00:00:00,10627.990234,10664.950195,10588.860352,10664.950195,123800000.0
1D,2010-03-12T00:00:00,10777.490234,10777.490234,10699.299805,10751.259766,206600000.0
1D,2010-03-15T00:00:00,10802.110352,10808.839844,10708.969727,10751.980469,130700000.0
1D,2010-03-16T00:00:00,10718.629883,10776.519531,10716.200195,10721.709961,106600000.0
1D,2010-03-17T00:00:00,10789.240234,10864.299805,10761.889648,10846.980469,137700000.0
1D,2010-03-18T00:00:00,10841.709961,10845.730469,10731.660156,10744.030273,130200000.0
1D,2010-03-19T00:00:00,10785.879883,10826.759766,10775.570312,10824.719727,116300000.0
