timeframe,time,open,high,low,close,volume
1D,2010-01-04T00:00:00,5.705,5.894,5.705,5.884,78858.0
1D,2010-01-05T00:00:00,5.837,5.858,5.615,5.637,99492.0
1D,2010-01-06T00:00:00,5.69,6.075,5.65,6.009,140611.0
1D,2010-01-07T00:00:00,6.033,6.108,5.763,5.806,135113.0
1D,2010-01-08T00:00:00,5.827,5.853,5.621,5.749,101153.0
1D,2010-01-11T00:00:00,5.576,5.625,5.371,5.454,120791.0
1D,2010-01-12T00:00:00,5.485,5.605,5.354,5.591,109931.0
1D,2010-01-13T00:00:00,5.588,5.785,5.432,5.733,158387.0
1D,2010-01-14T00:00:00,5.754,5.804,5.483,5.588,160793.0
1D,2010-01-15T00:00:00,5.587,5.732,5.519,5.691,105406.0
1D,2010-01-19T00:00:00,5.64,5.687,5.444,5.557,150327.0
1D,2010-01-20T00:00:00,5.595,5.625,5.464,5.496,72278.0
1D,2010-01-21T00:00:00,5.487,5.736,5.48,5.615,115564.0
1D,2010-01-22T00:00:00,5.658,5.869,5.65,5.819,104038.0
1D,2010-01-25T00:00:00,5.821,5.854,5.671,5.722,85294.0
1D,2010-01-26T00:00:00,5.707,5.721,5.434,5.485,65645.0
1D,2010-01-27T00:00:00,5.46,5.482,5.223,5.274,109503.0
1D,2010-01-28T00:00:00,5.23,5.258,5.06,5.138,107008.0
1D,2010-01-29T00:00:00,5.19,5.285,5.094,5.131,79679.0
1D,2010-02-01T00:00:00,5.247,5.45,5.236,5.434,106102.0
1D,2010-02-02T00:00:00,5.436,5.538,5.378,5.454,104917.0
1D,2010-02-03T00:00:00,5.441,5.558,5.36,5.419,97203.0
1D,2010-02-04T00:00:00,5.406,5.5,5.227,5.416,132333.0
1D,2010-02-05T00:00:00,5.485,5.598,5.383,5.515,149134.0
1D,2010-02-08T00:00:00,5.602,5.68,5.396,5.401,140790.0
1D,2010-02-09T00:00:00,5.42,5.466,5.262,5.29,148510.0
1D,2010-02-10T00:00:00,5.348,5.38,5.24,5.292,138424.0
1D,2010-02-11T00:00:00,5.297,5.416,5.286,5.396,135613.0
1D,2010-02-12T00:00:00,5.404,5.556,5.204,5.468,149081.0
1D,2010-02-16T00:00:00,5.429,5.56,5.305,5.31,140885.0
1D,2010-02-17T00:00:00,5.35,5.414,5.274,5.386,91203.0
1D,2010-02-18T00:00:00,5.386,5.419,5.135,5.172,118534.0
1D,2010-02-19T00:00:00,5.151,5.167,5.008,5.044,96759.0
1D,2010-02-22T00:00:00,4.95,4.977,4.841,4.895,78058.0
1D,2010-02-23T00:00:00,4.915,4.934,4.766,4.778,66648.0
1D,2010-02-24T00:00:00,4.773,4.884,4.745,4.816,89828.0
1D,2010-02-25T00:00:00,4.876,4.894,4.743,4.767,84370.0
1D,2010-02-26T00:00:00,4.8,4.853,4.739,4.813,69232.0
1D,2010-03-01T00:00:00,4.772,4.869,4.66,4.679,89836.0
1D,2010-03-02T00:00:00,4.693,4.755,4.655,4.708,85649.0
1D,2010-03-03T00:00:00,4.72,4.79,4.68,4.757,66167.0
1D,2010-03-04T00:00:00,4.761,4.787,4.556,4.575,102372.0
1D,2010-03-05T00:00:00,4.595,4.626,4.54,4.593,64872.0
1D,2010-03-08T00:00:00,4.537,4.575,4.458,4.527,68080.0
1D,2010-03-09T00:00:00,4.516,4.603,4.476,4.516,74653.0
1D,2010-03-10T00:00:00,4.51,4.595,4.45,4.559,95843.0
1D,2010-03-11T00:00:00,4.576,4.593,4.415,4.44,98139.0
1D,2010-03-12T00:00:00,4.415,4.469,4.377,4.4,56909.0
1D,2010-03-15T00:00:00,4.389,4.447,4.334,4.391,101163.0
1D,2010-03-16T00:00:00,4.385,4.423,4.323,4.347,106939.0
1D,2010-03-17T00:00:00,4.334,4.368,4.28,4.303,80233.0
1D,2010-03-18T00:00:00,4.289,4.292,4.054,4.085,153905.0
1D,2010-03-19T00:00:00,4.091,4.175,4.05,4.169,74118.0
1D,2010-03-22T00:00:00,4.158,4.168,4.036,4.079,81871.0
1D,2010-03-23T00:00:00,4.116,4.16,4.058,4.13,76253.0
1D,2010-03-24T00:00:00,4.142,4.142,4.052,4.105,75399.0
1D,2010-03-25T00:00:00,4.092,4.112,3.94,3.981,86751.0
1D,2010-03-26T00:00:00,3.974,3.997,3.863,3.872,67942.0
1D,2010-03-29T00:00:00,3.866,3.95,3.82,3.842,87640.0
1D,2010-03-30T00:00:00,3.885,4.015,3.847,3.973,80173.0
1D,2010-03-31T00:00:00,4.003,4.079,3.86,3.869,114055.0
1D,2010-04-01T00:00:00,3.874,4.157,3.81,4.086,154510.0
1D,2010-04-05T00:00:00,4.096,4.312,4.002,4.277,108980.0
1D,2010-04-06T00:00:00,4.284,4.334,4.066,4.096,125892.0
1D,2010-04-07T00:00:00,4.119,4.173,4.01,4.019,115381.0
1D,2010-04-08T00:00:00,4.009,4.099,3.857,3.909,139300.0
1D,2010-04-09T00:00:00,3.939,4.102,3.907,4.07,129795.0
1D,2010-04-12T00:00:00,4.093,4.18,3.936,4.008,168495.0
1D,2010-04-13T00:00:00,4.012,4.167,3.947,4.16,152067.0
1D,2010-04-14T00:00:00,4.154,4.269,4.114,4.199,163603.0
1D,2010-04-15T00:00:00,4.185,4.216,3.967,3.985,162637.0
1D,2010-04-16T00:00:00,4.012,4.099,3.985,4.039,123292.0
1D,2010-04-19T00:00:00,4.038,4.077,3.902,3.944,117500.0
1D,2010-04-20T00:00:00,3.958,3.993,3.879,3.975,99489.0
1D,2010-04-21T00:00:00,3.975,4.044,3.933,3.955,84897.0
1D,2010-04-22T00:00:00,3.982,4.15,3.93,4.128,125222.0
1D,2010-04-23T00:00:00,4.117,4.322,4.067,4.257,109555.0
1D,2010-04-26T00:00:00,4.29,4.313,4.174,4.262,84697.0
1D,2010-04-27T00:00:00,4.239,4.293,4.191,4.216,65528.0
1D,2010-04-28T00:00:00,4.207,4.326,4.186,4.271,104357.0
1D,2010-04-29T00:00:00,4.348,4.386,3.967,3.98,191785.0
1D,2010-04-30T00:00:00,4.01,4.065,3.885,3.92,109368.0
1D,2010-05-03T00:00:00,3.935,4.015,3.89,4.0,79141.0
1D,2010-05-04T00:00:00,4.009,4.046,3.963,4.013,81142.0
1D,2010-05-05T00:00:00,4.03,4.04,3.925,3.991,70781.0
1D,2010-05-06T00:00:00,3.978,4.101,3.855,3.929,102828.0
1D,2010-05-07T00:00:00,3.936,4.039,3.9,4.015,86657.0
1D,2010-05-10T00:00:00,4.015,4.235,4.006,4.17,127282.0
1D,2010-05-11T00:00:00,4.157,4.225,4.109,4.131,92216.0
1D,2010-05-12T00:00:00,4.138,4.292,4.133,4.284,131549.0
1D,2010-05-13T00:00:00,4.277,4.414,4.154,4.339,173506.0
1D,2010-05-14T00:00:00,4.307,4.35,4.252,4.312,109172.0
1D,2010-05-17T00:00:00,4.325,4.41,4.282,4.398,116913.0
1D,2010-05-18T00:00:00,4.412,4.494,4.296,4.342,107676.0
1D,2010-05-19T00:00:00,4.336,4.341,4.131,4.158,106976.0
1D,2010-05-20T00:00:00,4.162,4.207,4.04,4.106,112683.0
1D,2010-05-21T00:00:00,4.117,4.175,4.02,4.035,84607.0
1D,2010-05-24T00:00:00,4.037,4.068,3.986,4.017,62436.0
1D,2010-05-25T00:00:00,4.045,4.082,3.986,4.051,46069.0
1D,2010-05-26T00:00:00,4.098,4.245,4.07,4.155,108945.0
1D,2010-05-27T00:00:00,4.175,4.33,4.154,4.294,92962.0
1D,2010-05-28T00:00:00,4.337,4.399,4.26,4.341,99760.0
1D,2010-06-01T00:00:00,4.35,4.431,4.227,4.248,98911.0
1D,2010-06-02T00:00:00,4.217,4.44,4.217,4.424,111384.0
1D,2010-06-03T00:00:00,4.437,4.703,4.379,4.69,173310.0
1D,2010-06-04T00:00:00,4.699,4.977,4.609,4.797,164532.0
1D,2010-06-07T00:00:00,4.841,4.944,4.66,4.916,149432.0
1D,2010-06-08T00:00:00,4.969,4.995,4.747,4.808,151091.0
1D,2010-06-09T00:00:00,4.786,4.836,4.667,4.677,116519.0
1D,2010-06-10T00:00:00,4.675,4.808,4.628,4.647,146720.0
1D,2010-06-11T00:00:00,4.699,4.815,4.675,4.781,100403.0
1D,2010-06-14T00:00:00,4.861,5.042,4.861,5.006,137618.0
1D,2010-06-15T00:00:00,5.084,5.194,5.024,5.189,139488.0
1D,2010-06-16T00:00:00,5.152,5.196,4.965,4.978,118021.0
1D,2010-06-17T00:00:00,5.012,5.178,4.98,5.162,148765.0
1D,2010-06-18T00:00:00,5.128,5.19,4.987,4.997,90592.0
1D,2010-06-21T00:00:00,5.044,5.182,4.826,4.873,126783.0
1D,2010-06-22T00:00:00,4.87,4.888,4.691,4.756,109470.0
1D,2010-06-23T00:00:00,4.777,4.878,4.746,4.804,101329.0
1D,2010-06-24T00:00:00,4.811,4.855,4.698,4.748,72922.0
1D,2010-06-25T00:00:00,4.769,4.893,4.74,4.861,66231.0
1D,2010-06-28T00:00:00,4.829,4.841,4.695,4.717,78326.0
1D,2010-06-29T00:00:00,4.73,4.756,4.525,4.548,98804.0
1D,2010-06-30T00:00:00,4.562,4.627,4.477,4.616,92607.0
1D,2010-07-01T00:00:00,4.636,4.923,4.534,4.854,138080.0
1D,2010-07-02T00:00:00,4.83,4.871,4.613,4.687,95150.0
1D,2010-07-06T00:00:00,4.66,4.9,4.64,4.682,111455.0
1D,2010-07-07T00:00:00,4.662,4.78,4.555,4.565,97657.0
1D,2010-07-08T00:00:00,4.598,4.619,4.355,4.399,125606.0
1D,2010-07-09T00:00:00,4.413,4.455,4.339,4.402,72604.0
1D,2010-07-12T00:00:00,4.421,4.454,4.352,4.388,67874.0
1D,2010-07-13T00:00:00,4.419,4.487,4.334,4.354,110325.0
1D,2010-07-14T00:00:00,4.373,4.389,4.303,4.306,91294.0
1D,2010-07-15T00:00:00,4.319,4.623,4.288,4.586,187328.0
1D,2010-07-16T00:00:00,4.614,4.659,4.472,4.519,113667.0
1D,2010-07-19T00:00:00,4.531,4.555,4.454,4.51,91179.0
1D,2010-07-20T00:00:00,4.515,4.617,4.466,4.59,120798.0
1D,2010-07-21T00:00:00,4.616,4.662,4.48,4.513,120951.0
1D,2010-07-22T00:00:00,4.527,4.719,4.509,4.643,144101.0
1D,2010-07-23T00:00:00,4.655,4.665,4.552,4.58,78012.0
1D,2010-07-26T00:00:00,4.561,4.634,4.511,4.612,77179.0
1D,2010-07-27T00:00:00,4.612,4.689,4.6,4.675,65649.0
1D,2010-07-28T00:00:00,4.685,4.881,4.679,4.774,159054.0
1D,2010-07-29T00:00:00,4.685,4.87,4.678,4.827,129643.0
1D,2010-07-30T00:00:00,4.828,4.937,4.784,4.923,89511.0
1D,2010-08-02T00:00:00,4.988,5.007,4.681,4.701,117300.0
1D,2010-08-03T00:00:00,4.719,4.825,4.625,4.639,127994.0
1D,2010-08-04T00:00:00,4.664,4.756,4.632,4.737,94561.0
1D,2010-08-05T00:00:00,4.736,4.825,4.556,4.598,142432.0
1D,2010-08-06T00:00:00,4.61,4.646,4.456,4.467,119806.0
1D,2010-08-09T00:00:00,4.452,4.548,4.263,4.309,181971.0
1D,2010-08-10T00:00:00,4.33,4.37,4.276,4.297,146485.0
1D,2010-08-11T00:00:00,4.308,4.376,4.257,4.326,130794.0
1D,2010-08-12T00:00:00,4.317,4.363,4.264,4.296,138181.0
1D,2010-08-13T00:00:00,4.279,4.342,4.269,4.328,75810.0
1D,2010-08-16T00:00:00,4.336,4.35,4.182,4.228,111619.0
1D,2010-08-17T00:00:00,4.226,4.322,4.186,4.267,109255.0
1D,2010-08-18T00:00:00,4.275,4.308,4.196,4.239,92050.0
1D,2010-08-19T00:00:00,4.237,4.375,4.141,4.171,112691.0
1D,2010-08-20T00:00:00,4.161,4.177,4.109,4.117,60966.0
1D,2010-08-23T00:00:00,4.066,4.129,4.029,4.066,76306.0
1D,2010-08-24T00:00:00,4.085,4.091,4.027,4.039,59469.0
1D,2010-08-25T00:00:00,4.04,4.056,3.838,3.871,86074.0
1D,2010-08-26T00:00:00,3.9,3.935,3.791,3.817,63630.0
1D,2010-08-27T00:00:00,3.804,3.85,3.61,3.651,106037.0
1D,2010-08-30T00:00:00,3.746,3.878,3.693,3.812,89610.0
1D,2010-08-31T00:00:00,3.861,3.877,3.727,3.816,94533.0
1D,2010-09-01T00:00:00,3.79,3.878,3.708,3.762,126166.0
1D,2010-09-02T00:00:00,3.75,3.844,3.697,3.751,100479.0
1D,2010-09-03T00:00:00,3.81,3.946,3.757,3.939,97034.0
1D,2010-09-07T00:00:00,3.933,3.933,3.768,3.852,111424.0
1D,2010-09-08T00:00:00,3.871,3.914,3.795,3.814,81907.0
1D,2010-09-09T00:00:00,3.822,3.84,3.703,3.768,133484.0
1D,2010-09-10T00:00:00,3.805,3.939,3.773,3.883,108537.0
