timeframe,time,open,high,low,close,volume
1D,2010-01-04T00:00:00,17.440001,17.440001,16.870001,17.440001,28.0
1D,2010-01-05T00:00:00,17.781,17.82,17.575001,17.781,38.0
1D,2010-01-06T00:00:00,18.163,18.190001,17.84,18.163,19.0
1D,2010-01-07T00:00:00,18.333,18.333,18.09,18.333,7.0
1D,2010-01-08T00:00:00,18.458,18.458,18.120001,18.458,3.0
1D,2010-01-11T00:00:00,18.683001,18.683001,18.683001,18.683001,22.0
1D,2010-01-12T00:00:00,18.700001,18.700001,18.243,18.243,35.0
1D,2010-01-13T00:00:00,18.538,18.538,18.538,18.538,15.0
1D,2010-01-14T00:00:00,18.643,18.643,18.643,18.643,29.0
1D,2010-01-15T00:00:00,18.395,18.395,18.389999,18.410999,54.0
1D,2010-01-19T00:00:00,18.784,18.784,18.48,18.784,136.0
1D,2010-01-20T00:00:00,17.865999,17.865999,17.865999,17.865999,6.0
1D,2010-01-21T00:00:00,17.496,17.496,17.496,17.496,1.0
1D,2010-01-22T00:00:00,16.917999,17.139999,16.917999,16.917999,5.0
1D,2010-01-25T00:00:00,17.131001,17.131001,17.131001,17.131001,2.0
1D,2010-01-26T00:00:00,16.846001,16.846001,16.846001,16.846001,1.0
1D,2010-01-27T00:00:00,16.427999,16.427999,16.427999,16.427999,55.0
1D,2010-01-28T00:00:00,16.202,16.202,16.202,16.202,135.0
1D,2010-01-29T00:00:00,16.183001,16.34,16.1,16.183001,23.0
1D,2010-02-01T00:00:00,16.653,16.653,16.653,16.653,128.0
1D,2010-02-02T00:00:00,16.736,16.736,16.736,16.736,18.0
1D,2010-02-03T00:00:00,16.620001,16.620001,16.360001,16.309999,3.0
1D,2010-02-04T00:00:00,16.030001,16.030001,15.26,15.343,4.0
1D,2010-02-05T00:00:00,14.823,14.823,14.823,14.823,54.0
1D,2010-02-08T00:00:00,15.078,15.16,15.0,15.078,224.0
1D,2010-02-09T00:00:00,15.431,15.431,15.431,15.431,3.0
1D,2010-02-10T00:00:00,15.302,15.302,15.302,15.302,300.0
