timeframe,time,open,high,low,close,volume
1D,2010-01-04T00:00:00,1116.560059,1133.869995,1116.560059,1132.98999,3991400000.0
1D,2010-01-05T00:00:00,1132.660034,1136.630005,1129.660034,1136.52002,2491020000.0
1D,2010-01-06T00:00:00,1135.709961,1139.189941,1133.949951,1137.140015,4972660000.0
1D,2010-01-07T00:00:00,1136.27002,1142.459961,1131.319946,1141.689941,5270680000.0
1D,2010-01-08T00:00:00,1140.52002,1145.390015,1136.219971,1144.97998,4389590000.0
1D,2010-01-11T00:00:00,1145.959961,1149.73999,1142.02002,1146.97998,4255780000.0
1D,2010-01-12T00:00:00,1143.810059,1143.810059,1131.77002,1136.219971,4716160000.0
1D,2010-01-13T00:00:00,1137.310059,1148.400024,1133.180054,1145.680054,4170360000.0
1D,2010-01-14T00:00:00,1145.680054,1150.410034,1143.800049,1148.459961,3915200000.0
1D,2010-01-15T00:00:00,1147.719971,1147.77002,1131.390015,1136.030029,4758730000.0
1D,2010-01-19T00:00:00,1136.030029,1150.449951,1135.77002,1150.22998,4724830000.0
1D,2010-01-20T00:00:00,1147.949951,1147.949951,1129.25,1138.040039,4810560000.0
1D,2010-01-21T00:00:00,1138.680054,1141.579956,1114.839966,1116.47998,6874290000.0
1D,2010-01-22T00:00:00,1115.48999,1115.48999,1090.180054,1091.76001,6208650000.0
1D,2010-01-25T00:00:00,1092.400024,1102.969971,1092.400024,1096.780029,4481390000.0
1D,2010-01-26T00:00:00,1095.800049,1103.689941,1089.859985,1092.170044,4731910000.0
1D,2010-01-27T00:00:00,1091.939941,1099.51001,1083.109985,1097.5,5319120000.0
1D,2010-01-28T00:00:00,1096.930054,1100.219971,1078.459961,1084.530029,5452400000.0
1D,2010-01-29T00:00:00,1087.609985,1096.449951,1071.589966,1073.869995,5412850000.0
1D,2010-02-01T00:00:00,1073.890015,1089.380005,1073.890015,1089.189941,4077610000.0
1D,2010-02-02T00:00:00,1090.050049,1104.72998,1087.959961,1103.319946,4749540000.0
1D,2010-02-03T00:00:00,1100.670044,1102.719971,1093.969971,1097.280029,4285450000.0
1D,2010-02-04T00:00:00,1097.25,1097.25,1062.780029,1063.109985,5859690000.0
1D,2010-02-05T00:00:00,1064.119995,1067.130005,1044.5,1066.189941,6438900000.0
1D,2010-02-08T00:00:00,1065.51001,1071.199951,1056.51001,1056.73999,4089820000.0
1D,2010-02-09T00:00:00,1060.060059,1079.280029,1060.060059,1070.52002,5114260000.0
1D,2010-02-10T00:00:00,1069.680054,1073.670044,1059.339966,1068.130005,4251450000.0
1D,2010-02-11T00:00:00,1067.099976,1080.040039,1060.589966,1078.469971,4400870000.0
1D,2010-02-12T00:00:00,1075.949951,1077.810059,1062.969971,1075.51001,4160680000.0
1D,2010-02-16T00:00:00,1079.130005,1095.670044,1079.130005,1094.869995,4080770000.0
1D,2010-02-17T00:00:00,1096.140015,1101.030029,1094.719971,1099.51001,4259230000.0
1D,2010-02-18T00:00:00,1099.030029,1108.23999,1097.47998,1106.75,3878620000.0
1D,2010-02-19T00:00:00,1105.48999,1112.420044,1100.800049,1109.170044,3944280000.0
1D,2010-02-22T00:00:00,1110.0,1112.290039,1105.380005,1108.01001,3814440000.0
1D,2010-02-23T00:00:00,1107.48999,1108.579956,1092.180054,1094.599976,4521050000.0
1D,2010-02-24T00:00:00,1095.890015,1106.420044,1095.5,1105.23999,4168360000.0
1D,2010-02-25T00:00:00,1101.23999,1103.5,1086.02002,1102.939941,4521130000.0
1D,2010-02-26T00:00:00,1103.099976,1107.23999,1097.560059,1104.48999,3945190000.0
1D,2010-03-01T00:00:00,1105.359985,1116.109985,1105.359985,1115.709961,3847640000.0
1D,2010-03-02T00:00:00,1117.01001,1123.459961,1116.51001,1118.310059,4134680000.0
1D,2010-03-03T00:00:00,1119.359985,1125.640015,1116.579956,1118.790039,3951320000.0
1D,2010-03-04T00:00:00,1119.119995,1123.72998,1116.660034,1122.969971,3945010000.0
1D,2010-03-05T00:00:00,1125.119995,1139.380005,1125.119995,1138.699951,4133000000.0
1D,2010-03-08T00:00:00,1138.400024,1141.050049,1136.77002,1138.5,3774680000.0
1D,2010-03-09T00:00:00,1137.560059,1145.369995,1134.900024,1140.449951,5185570000.0
1D,2010-03-10T00:00:00,1140.219971,1148.26001,1140.089966,1145.609985,5469120000.0
1D,2010-03-11T00:00:00,1143.959961,1150.23999,1138.98999,1150.23999,4669060000.0
1D,2010-03-12T00:00:00,1151.709961,1153.410034,1146.969971,1149.98999,4928160000.0
1D,2010-03-15T00:00:00,1148.530029,1150.97998,1141.449951,1150.51001,4164110000.0
1D,2010-03-16T00:00:00,1150.829956,1160.280029,1150.349976,1159.459961,4369770000.0
1D,2010-03-17T00:00:00,1159.939941,1169.839966,1159.939941,1166.209961,4963200000.0
1D,2010-03-18T00:00:00,1166.130005,1167.77002,1161.160034,1165.829956,4234510000.0
1D,2010-03-19T00:00:00,1166.680054,1169.199951,1155.329956,1159.900024,5212410000.0
1D,2010-03-22T00:00:00,1157.25,1167.819946,1152.880005,1165.810059,4261680000.0
1D,2010-03-23T00:00:00,1166.469971,1174.719971,1163.829956,1174.170044,4411640000.0
1D,2010-03-24T00:00:00,1172.699951,1173.040039,1166.01001,1167.719971,4705750000.0
1D,2010-03-25T00:00:00,1170.030029,1180.689941,1165.089966,1165.72998,5668900000.0
1D,2010-03-26T00:00:00,1167.579956,1173.930054,1161.47998,1166.589966,4708420000.0
1D,2010-03-29T00:00:00,1167.709961,1174.849976,1167.709961,1173.219971,4375580000.0
1D,2010-03-30T00:00:00,1173.75,1177.829956,1168.920044,1173.27002,4085000000.0
1D,2010-03-31T00:00:00,1171.75,1174.560059,1165.77002,1169.430054,4484340000.0
1D,2010-04-01T00:00:00,1171.22998,1181.430054,1170.689941,1178.099976,4006870000.0
1D,2010-04-05T00:00:00,1178.709961,1187.72998,1178.709961,1187.439941,3881620000.0
1D,2010-04-06T00:00:00,1186.01001,1191.800049,1182.77002,1189.439941,4086180000.0
1D,2010-04-07T00:00:00,1188.22998,1189.599976,1177.25,1182.449951,5101430000.0
1D,2010-04-08T00:00:00,1181.75,1188.550049,1175.119995,1186.439941,4726970000.0
1D,2010-04-09T00:00:00,1187.469971,1194.660034,1187.150024,1194.369995,4511570000.0
1D,2010-04-12T00:00:00,1194.939941,1199.199951,1194.709961,1196.47998,4607090000.0
1D,2010-04-13T00:00:00,1195.939941,1199.040039,1188.819946,1197.300049,5403580000.0
1D,2010-04-14T00:00:00,1198.689941,1210.650024,1198.689941,1210.650024,5760040000.0
1D,2010-04-15T00:00:00,1210.77002,1213.920044,1208.5,1211.670044,5995330000.0
1D,2010-04-16T00:00:00,1210.170044,1210.170044,1186.77002,1192.130005,8108470000.0
1D,2010-04-19T00:00:00,1192.060059,1197.869995,1183.680054,1197.52002,6597740000.0
1D,2010-04-20T00:00:00,1199.040039,1208.579956,1199.040039,1207.170044,5316590000.0
1D,2010-04-21T00:00:00,1207.160034,1210.98999,1198.849976,1205.939941,5724310000.0
1D,2010-04-22T00:00:00,1202.52002,1210.27002,1190.189941,1208.670044,6035780000.0
1D,2010-04-23T00:00:00,1207.869995,1217.280029,1205.099976,1217.280029,5326060000.0
1D,2010-04-26T00:00:00,1217.069946,1219.800049,1211.069946,1212.050049,5647760000.0
1D,2010-04-27T00:00:00,1209.920044,1211.380005,1181.619995,1183.709961,7454540000.0
1D,2010-04-28T00:00:00,1184.589966,1195.050049,1181.810059,1191.359985,6342310000.0
1D,2010-04-29T00:00:00,1193.300049,1209.359985,1193.300049,1206.780029,6059410000.0
1D,2010-04-30T00:00:00,1206.77002,1207.98999,1186.319946,1186.689941,6048260000.0
1D,2010-05-03T00:00:00,1188.579956,1205.130005,1188.579956,1202.26001,4938050000.0
