timeframe,time,open,high,low,close,volume
1D,2010-01-04T00:00:00,10384.0,10548.0,10384.0,10519.0,93770.0
1D,2010-01-05T00:00:00,10520.0,10538.0,10455.0,10515.0,93287.0
1D,2010-01-06T00:00:00,10514.0,10544.0,10479.0,10516.0,97172.0
1D,2010-01-07T00:00:00,10518.0,10560.0,10451.0,10545.0,112280.0
1D,2010-01-08T00:00:00,10548.0,10579.0,10496.0,10566.0,79925.0
1D,2010-01-11T00:00:00,10573.0,10623.0,10537.0,10604.0,93891.0
1D,2010-01-12T00:00:00,10592.0,10603.0,10514.0,10588.0,126885.0
1D,2010-01-13T00:00:00,10589.0,10656.0,10561.0,10628.0,113576.0
1D,2010-01-14T00:00:00,10626.0,10672.0,10604.0,10663.0,80520.0
1D,2010-01-15T00:00:00,10673.0,10679.0,10508.0,10563.0,140591.0
1D,2010-01-19T00:00:00,10561.0,10687.0,10519.0,10670.0,118550.0
1D,2010-01-20T00:00:00,10665.0,10676.0,10467.0,10557.0,157058.0
1D,2010-01-21T00:00:00,10556.0,10591.0,10327.0,10338.0,208152.0
1D,2010-01-22T00:00:00,10336.0,10375.0,10111.0,10151.0,213602.0
1D,2010-01-25T00:00:00,10166.0,10249.0,10124.0,10140.0,139820.0
1D,2010-01-26T00:00:00,10149.0,10236.0,10054.0,10138.0,164295.0
1D,2010-01-27T00:00:00,10140.0,10205.0,10055.0,10195.0,189543.0
1D,2010-01-28T00:00:00,10188.0,10264.0,10005.0,10062.0,195686.0
1D,2010-01-29T00:00:00,10070.0,10192.0,9994.0,10017.0,189885.0
1D,2010-02-01T00:00:00,10013.0,10145.0,10005.0,10137.0,121767.0
1D,2010-02-02T00:00:00,10137.0,10266.0,10103.0,10224.0,137521.0
1D,2010-02-03T00:00:00,10226.0,10261.0,10187.0,10241.0,112524.0
1D,2010-02-04T00:00:00,10240.0,10255.0,9955.0,9979.0,201473.0
1D,2010-02-05T00:00:00,9978.0,10004.0,9791.0,9941.0,242968.0
1D,2010-02-08T00:00:00,9954.0,9995.0,9865.0,9895.0,136084.0
1D,2010-02-09T00:00:00,9894.0,10104.0,9878.0,10004.0,184076.0
1D,2010-02-10T00:00:00,10007.0,10057.0,9928.0,9985.0,132693.0
1D,2010-02-11T00:00:00,9987.0,10129.0,9940.0,10110.0,138599.0
1D,2010-02-12T00:00:00,10109.0,10140.0,9951.0,10117.0,157876.0
1D,2010-02-16T00:00:00,10109.0,10252.0,10067.0,10241.0,106060.0
1D,2010-02-17T00:00:00,10237.0,10300.0,10232.0,10296.0,103760.0
1D,2010-02-18T00:00:00,10298.0,10385.0,10245.0,10375.0,102175.0
1D,2010-02-19T00:00:00,10378.0,10421.0,10277.0,10378.0,121653.0
1D,2010-02-22T00:00:00,10368.0,10434.0,10352.0,10374.0,79563.0
1D,2010-02-23T00:00:00,10366.0,10414.0,10251.0,10299.0,126264.0
1D,2010-02-24T00:00:00,10298.0,10379.0,10269.0,10355.0,109736.0
1D,2010-02-25T00:00:00,10355.0,10355.0,10172.0,10316.0,147608.0
1D,2010-02-26T00:00:00,10315.0,10354.0,10258.0,10311.0,98493.0
1D,2010-03-01T00:00:00,10324.0,10403.0,10324.0,10385.0,90632.0
1D,2010-03-02T00:00:00,10382.0,10447.0,10371.0,10399.0,89843.0
1D,2010-03-03T00:00:00,10395.0,10458.0,10364.0,10387.0,105116.0
1D,2010-03-04T00:00:00,10384.0,10440.0,10351.0,10431.0,93330.0
1D,2010-03-05T00:00:00,10430.0,10561.0,10427.0,10545.0,118673.0
1D,2010-03-08T00:00:00,10544.0,10579.0,10532.0,10538.0,78556.0
1D,2010-03-09T00:00:00,10538.0,10606.0,10500.0,10564.0,107360.0
1D,2010-03-10T00:00:00,10560.0,10597.0,10520.0,10565.0,111083.0
1D,2010-03-11T00:00:00,10569.0,10612.0,10505.0,10610.0,75718.0
1D,2010-03-12T00:00:00,10608.0,10661.0,10595.0,10635.0,43270.0
1D,2010-03-15T00:00:00,10635.0,10644.0,10569.0,10638.0,33095.0
1D,2010-03-16T00:00:00,10637.0,10693.0,10622.0,10686.0,36672.0
1D,2010-03-17T00:00:00,10686.0,10768.0,10679.0,10726.0,21795.0
1D,2010-03-18T00:00:00,10729.0,10786.0,10708.0,10780.0,15538.0
1D,2010-03-19T00:00:00,10780.0,10829.0,10775.0,10850.0,127256.0
1D,2010-03-22T00:00:00,10662.0,10749.0,10617.0,10727.0,117736.0
1D,2010-03-23T00:00:00,10725.0,10831.0,10717.0,10828.0,113084.0
1D,2010-03-24T00:00:00,10827.0,10829.0,10762.0,10787.0,124163.0
1D,2010-03-25T00:00:00,10784.0,10894.0,10772.0,10791.0,138933.0
